Mark,Models
FERRARI,"['250_GTO', '328', '348', '360_MODENA', '400', '412', '456', '458_ITALIA', '488', '512_BB', '512M', '512_TR', '550', '575_MARANELLO', '599', '612_SCAGLIETTI', '812_SUPERFAST', 'CALIFORNIA', 'DINO_206_GT', '208_308', 'DINO_246_GT', 'ENZO', 'F12BERLINETTA', 'F355', 'F40', 'F430', 'F50', 'F8_TRIBUTO', 'FF', 'FXX_K', 'GTC4LUSSO', 'LAFERRARI', 'MONDIAL', 'MONZA_SP', 'PORTOFINO', 'ROMA', 'SF90_STRADALE', 'TESTAROSSA']"
FIAT,"['124', '124_SPIDER', '124_SPORT_SPIDER', '125', '126', '127', '128', '130', '131', '132', '238', '500', '500L', '500X', '508', '600', '900T', 'ALBEA', 'ARGENTA', 'BARCHETTA', 'BRAVA', 'BRAVO', 'CINQUECENTO', 'COUPE', 'CROMA', 'DOBLO', 'DUNA', 'FIORINO', 'FREEMONT', 'FULLBACK', 'IDEA', 'LINEA', 'MAREA', 'MULTIPLA', 'PALIO', 'PANDA', 'PUNTO', 'QUBO', 'REGATA', 'RITMO', 'SCUDO', 'SEDICI', 'SEICENTO', 'SIENA', 'STILO', 'STRADA', 'TEMPRA', 'TIPO', 'ULYSSE', 'UNO', 'X_1_9']"
FISKER,['KARMA']
FLANKER,['F']
FORD,"['AEROSTAR', 'ASPIRE', 'B_MAX', 'BRONCO', 'BRONCO_II', 'C_MAX', 'CAPRI', 'CONSUL', 'CONTOUR', 'CORTINA', 'COUGAR', 'CROWN_VICTORIA', 'CUSTOM', 'ECONOLINE', 'ECOSPORT', 'EDGE', 'ESCAPE', 'ESCORT', 'ESCORT_NA', 'EVEREST', 'EXCURSION', 'EXPEDITION', 'EXPLORER', 'EXPLORER_SPORT_TRAC', 'F_150', 'FAIRLANE', 'FAIRMONT', 'FALCON', 'FESTIVA', 'FIESTA', 'FIESTA_ST', 'FIVE_HUNDRED', 'FLEX', 'FOCUS', 'FOCUS_NA', 'FOCUS_RS', 'FOCUS_ST', 'FREDA', 'FREESTAR', 'FREESTYLE', 'FUSION', 'FUSION_NA', 'GALAXIE', 'GALAXY', 'GPA', 'GRANADA', 'GRANADA_NA', 'GT', 'GT40', 'IKON', 'IXION', 'KA', 'KUGA', 'LASER', 'LTD_CROWN_VICTORIA', 'M151', 'MAINLINE', 'MAVERICK', 'MODEL_A', 'MODEL_T', 'MONDEO', 'MONDEO_ST', 'MUSTANG', 'MUSTANG_MACH_E', 'ORION', 'PROBE', 'PUMA', 'RANCHERO', 'RANGER', 'RANGER_NA', 'S_MAX', 'SCORPIO', 'SIERRA', 'SPECTRON', 'TAUNUS', 'TAURUS', 'TAURUS_X', 'TELSTAR', 'TEMPO', 'TERRITORY', 'THUNDERBIRD', 'TORINO', 'TOURNEO_CONNECT', 'TOURNEO_COURIER', 'TOURNEO_CUSTOM', 'V8', 'WINDSTAR', 'ZEPHYR']"
FOTON,"['MIDI', 'SAUVANA', 'TUNLAND']"
FSO,"['125_P', '126P', '127P', '132P', 'POLONEZ']"
FUQI,['LAND_KING']
GAC,['GS8']
GEELY,"['ATLAS', 'BEAUTY_LEOPARD', 'CK', 'EMGRAND_7', 'EMGRAND', 'EMGRAND_8', 'EMGRAND_GT', 'EMGRAND_X7', 'VISION', 'GC6', 'GC9', 'GS', 'HAOQING', 'LC', 'LC_CROSS', 'MK', 'MK_CROSS', 'MR', 'SC7', 'TX4']"
GENESIS,"['G70', 'G80', 'G90', 'GV80']"
GEO,"['METRO', 'PRIZM', 'SPECTRUM', 'STORM', 'TRACKER']"
GMC,"['100', 'ACADIA', 'CANYON', 'ENVOY', 'JIMMY', 'SAFARI', 'SAVANA', 'SIERRA', 'SONOMA', 'SUBURBAN', 'SYCLONE', 'TERRAIN', 'TYPHOON', 'VANDURA', 'YUKON']"
GONOW,['TROY']
GORDON,['ROADSTER']
GP,['MADISON']
GREAT_WALL,"['COOLBEAR', 'COWRY', 'DEER', 'FLORID', 'HOVER_2005', 'HOVERH3', 'HOVERH5', 'HOVERH6', 'HOVER_M1', 'HOVER_M2', 'HOVER_M4', 'PEGASUS', 'PERI', 'SAFE', 'SAILOR', 'SING', 'SOCOOL', 'VOLEEXC10', 'VOLEEXC30', 'WINGLE_UP']"
HAFEI,"['BRIO', 'PRINCIP', 'SAIBAO', 'SIGMA', 'SIMBO']"
HAIMA,"['2', '3', '7', 'FAMILY', 'FAMILY_F7', 'FREEMA', 'M3', 'S5']"
HANOMAG,"['REKORD', 'TYP_13']"
HAVAL,"['F7', 'F7X', 'H2', 'H6', 'H6_COUPE', 'H8', 'H9']"
HAWTAI,"['B_21', 'BOLIGER', 'LAVILLE']"
HINDUSTAN,"['AMBASSADOR', 'CONTESSA']"
HISPANO_SUIZA,['K6']
HOLDEN,"['APOLLO', 'ASTRA', 'BARINA', 'CALAIS', 'CAPRICE', 'COMMODORE', 'CRUZE', 'FRONTERA', 'JACKAROO', 'MONARO', 'RODEO', 'STATESMAN', 'UTE', 'VECTRA', 'ZAFIRA']"
HONDA,"['145', 'ACCORD', 'ACTY', 'AIRWAVE', 'ASCOT', 'ASCOT_INNOVA', 'AVANCIER', 'BALLADE', 'BEAT', 'BRIO', 'CAPA', 'CITY', 'CIVIC', 'CIVIC_FERIO', 'CIVIC_TYPE_R', 'CONCERTO', 'CR_V', 'CR_X', 'CR_Z', 'CROSSROAD', 'CROSSTOUR', 'DOMANI', 'EDIX', 'ELEMENT', 'ELYSION', 'FCX_CLARITY', 'FIT', 'FIT_ARIA', 'FIT_SHUTTLE', 'FR_V', 'FREED', 'GRACE', 'HORIZON', 'HR_V', 'INSIGHT', 'INSPIRE', 'INTEGRA', 'INTEGRA_SJ', 'JADE', 'JAZZ', 'LAGREAT', 'LEGEND', 'LIFE', 'LOGO', 'MDX', 'MOBILIO', 'MOBILIO_SPIKE', 'N_BOX', 'N_ONE', 'N_WGN', 'N360', 'NSX', 'ODYSSEY', 'ODYSSEY_NA', 'ORTHIA', 'PARTNER', 'PASSPORT', 'PILOT', 'PRELUDE', 'QUINT', 'RAFAGA', 'RIDGELINE', 'S_MX', 'S2000', 'S500', 'S600', 'S660', 'SABER', 'SHUTTLE', 'STEPWAGON', 'STREAM', 'STREET', 'THATS', 'TODAY', 'TORNEO', 'VAMOS', 'VEZEL', 'VIGOR', 'Z', 'ZEST']"
HORCH,"['830', '853']"
HUANGHAI,"['ANTELOPE', 'LANDSCAPE', 'PLUTUS']"
HUDSON,"['DELUXE_EIGHT', 'SUPER_SIX']"
HUMMER,"['H1', 'H2', 'H3']"
HYUNDAI,"['ACCENT', 'ASLAN', 'ATOS', 'AVANTE', 'AZERA', 'CENTENNIAL', 'CLICK', 'COUPE', 'CRETA', 'DYNASTY', 'ELANTRA', 'ENTOURAGE', 'EON', 'EQUUS', 'EXCEL', 'GALLOPER', 'GENESIS', 'GENESIS_COUPE', 'GETZ', 'GRACE', 'GRAND_STAREX', 'GRANDEUR', 'H_1_STAREX', 'H200', 'I10', 'I20', 'I30', 'I30_N', 'I40', 'IONIQ', 'IX20', 'IX35', 'IX55', 'KONA', 'LANTRA', 'LAVITA', 'MARCIA', 'MATRIX', 'MAXCRUZ', 'PALISADE', 'PONY', 'SANTA_FE', 'SANTAMO', 'SCOUPE', 'SOLARIS', 'SONATA', 'STAREX', 'STELLAR', 'TERRACAN', 'TIBURON', 'TRAJET', 'TUCSON', 'TUSCANI', 'VELOSTER', 'VENUE', 'VERACRUZ', 'VERNA', 'XG']"
INFINITI,"['EX', 'FX', 'G35', 'I', 'J30', 'JX', 'M', 'Q', 'Q30', 'Q40', 'Q50', 'Q60', 'Q70', 'QX30', 'QX4', 'QX50', 'QX56', 'QX60', 'QX70', 'QX80']"
INNOCENTI,"['ELBA', 'MILLE', 'MINI']"
INTERNATIONAL,['TRAVELALL']
INVICTA,['S1']
IRAN_KHODRO,"['DENA', 'PAYKAN', 'RUNNA', 'SAHRA', 'SAMAND', 'SARIR', 'SOREN']"
ISDERA,"['COMMENDATORE_112I', 'IMPERATOR_108I', 'SPYDER']"
ISUZU,"['117', 'AMIGO', 'ASCENDER', 'ASKA', 'AXIOM', 'BELLETT', 'BIGHORN', 'D_MAX', 'FARGO', 'FARGO_FILLY', 'FLORIAN', 'GEMINI', 'HOMBRE', 'IMPULSE', 'KB', 'MU', 'MU_7', 'MU_X', 'PIAZZA', 'RODEO', 'STYLUS', 'TF', 'TROOPER', 'VEHI_CROSS', 'WIZARD']"
IVECO,['MASSIF']
JAC,"['IEV7S', 'J2', 'J3', 'J4', 'J5', 'J6', 'J7', 'REFINE', 'M5', 'S1_REIN', 'S_3', 'S5', 'T6']"
JAGUAR,"['E_PACE', 'E_TYPE', 'F_PACE', 'F_TYPE', 'I_PACE', 'MARK_2', 'MARK_IX', 'S_TYPE', 'X_TYPE', 'XE', 'XF', 'XFR', 'XJ', 'XJ220', 'XJR', 'XJS', 'XK', 'XKR']"
JEEP,"['CHEROKEE', 'CJ', 'COMMANDER', 'COMPASS', 'GLADIATOR', 'GRAND_CHEROKEE', 'GRAND_WAGONEER', 'LIBETY_NA', 'PATRIOT', 'RENEGADE', 'WRANGLER']"
JENSEN,"['INTERCEPTOR', 'S_V8']"
JINBEI,['HAISE']
JMC,['BAODIAN']
KIA,"['AVELLA', 'BORREGO', 'CADENZA', 'CAPITAL', 'CARENS', 'CARNIVAL', 'CARSTAR', 'CEED', 'CEED_GT', 'CERATO', 'CLARUS', 'CONCORD', 'ELAN', 'ENTERPRISE', 'FORTE', 'JOICE', 'K3', 'K5', 'K7', 'K9', 'K900', 'LOTZE', 'MAGENTIS', 'MENTOR', 'MOHAVES', 'MORNING', 'NIRO', 'OPIRUS', 'OPTIMA', 'PICANTO', 'POTENTIA', 'PREGIO', 'PRIDE', 'PROCEED', 'QUANLIMA', 'QUORIS', 'RAY', 'RETONA', 'RIO', 'SEDONA', 'SELTOS', 'SEPHIA', 'SHUMA', 'SORENTO', 'SOUL', 'SOUL_EV', 'SPECTRA', 'SPORTAGE', 'STINGER', 'STONIC', 'TELLURIDE', 'TOWNER', 'VENGA', 'VISTO', 'X_TREK', 'XCEED']"
KOENIGSEGG,"['AGERA', 'CC8S', 'CCR', 'CCX', 'ONE_1', 'REGERA']"
KTM,['XBOW']
VAZ,"['1111', '2101', '2102', '2103', '2104', '2105', '2106', '2107', '2108', '2109', '21099', '2110', '2111', '2112', '2113', '2114', '2115', '2120', '2121', '2123', '2129', '2131_4X4', '2328', '2329', 'ELLADA', 'GRANTA', 'KALINA', 'LARGUS', '2170', 'REVOLUTION', 'VESTA', 'XRAY']"
LAMBORGHINI,"['350_400_GT', 'AVENTADOR', 'CENTANARIO', 'COUNTACH', 'DIABLO', 'EGOISTA', 'ESPADA', 'GALLARDO', 'HURACAN', 'ISLERO', 'JALPA', 'JARAMA', 'LM001', 'LM002', 'MIURA', 'MURCIELAGO', 'REVENTON', 'SESTO_ELEMENTO', 'SILHOUETTE', 'URRACO', 'URUS', 'VENENO']"
LANCIA,"['A_112', 'APPIA', 'AURELIA', 'BETA', 'DEDRA', 'DELTA', 'FLAMINIA', 'FLAVIA', 'FULVIA', 'GAMMA', 'HYUENA', 'KAPPA', 'LAMBDA', 'LYBRA', 'MONTECARLO', 'MUSA', 'PHEDRA', 'PRISMA', 'RALLY_037', 'STRATOS', 'THEMA', 'THESIS', 'TREVI', 'VOYAGER', 'Y10', 'YPSILON', 'ZETA']"
LAND_ROVER,"['DEFENDER', 'DISCOVERY', 'DISCOVERY_SPORT', 'FREELANDER', 'RANGE_ROVER', 'EVOQUE', 'RANGE_ROVER_SPORT', 'RANGE_ROVER_VELAR', 'SERIES_I', 'SERIES_II', 'SERIES_III']"
LANDWIND,"['CV9', 'FORWARD', 'X5', 'X6', 'X7', 'LW_X9']"
